AverageAmountTransaction,TransactionAmount,IsDeclined,TotalNumberOfDeclines,isForeignTransaction,isFradulent
100,3000,0,5,1,1
100,4300,0,5,1,1
185.5,4823,1,5,0,1
185.5,5008.5,1,8,0,1
500,26000,0,0,1,1
500,27000,0,0,1,1
262.5,11287.5,0,0,0,1
185.5,11130,1,20,0,1
185.5,6121.5,1,20,0,1
185.5,7049,1,20,0,1
166.788473,4836.865717,0,0,0,1
444.9970144,21804.85371,0,0,1,1
152.451565,4116.192255,0,0,1,1
36.91948763,2141.330283,0,5,1,1
806.1795426,23379.20674,0,0,0,1
257.0911668,10283.64667,0,4,1,1
601.4529708,24659.5718,0,7,0,1
222.5298151,12461.66965,0,9,1,1
231.0673178,12708.70248,0,0,0,1
675.5694754,39858.59905,0,9,1,1
242.1517429,10654.67669,0,0,1,1
804.7617661,42652.3736,0,0,0,1
432.0302518,22033.54284,0,8,1,1
356.8122632,16056.55184,0,9,1,1
456.2831178,15057.34289,0,0,1,1
780.688498,36692.35941,0,0,1,1
947.4890276,44531.9843,0,7,1,1
172.5157672,5002.957249,0,9,1,1
111.3750711,5680.128626,0,2,1,1
679.9403346,38076.65874,0,0,1,1
476.8645865,26704.41684,0,3,1,1
563.054548,23085.23647,0,2,1,1
205.8614188,11528.23945,0,0,1,1
998.3440744,26955.29001,0,0,1,1
724.0674699,43444.04819,0,0,0,1
85.54822336,3165.284264,0,0,0,1
253.6174611,9891.080983,0,2,1,1
18.66793542,784.0532876,0,0,1,1
345.2290256,13118.70297,0,0,1,1
66.77655374,2804.615257,0,5,0,1
434.5973006,13472.51632,0,7,1,1
53.18771869,2553.010497,0,6,1,1
680.8050065,33359.44532,0,8,1,1
480.7217025,17305.98129,0,7,1,1
644.2848716,19972.83102,0,0,0,1
723.1415323,22417.3875,0,5,1,1
879.4463782,40454.5334,0,8,1,1
519.6687893,22345.75794,0,4,1,1
360.1675018,20169.3801,0,0,0,1
199.1953372,11752.52489,0,7,1,1
741.7709921,37830.3206,0,0,0,1
293.785663,14395.49749,0,0,1,1
464.2802182,21356.89004,0,5,1,1
48.43831932,2664.107563,0,8,1,1
885.2821332,53116.92799,0,9,1,1
532.2414183,15435.00113,0,6,1,1
578.1520606,32376.51539,0,7,0,1
780.3223403,39016.11702,0,5,1,1
282.8443803,15556.44092,0,7,0,1
464.1466817,15780.98718,0,0,1,1
411.7532238,22234.67409,0,0,0,1
866.4786465,46789.84691,0,7,0,1
616.445728,15411.1432,0,4,1,1
837.189105,43533.83346,0,0,1,1
276.825748,8581.598188,0,0,1,1
10.66365782,458.5372863,0,8,1,1
327.2204773,16688.24434,0,9,0,1
810.4856122,20262.14031,0,5,1,1
